videoid,category,channel name,viewcount,likes,userid
cA-O4oS-Wb8,Film & Animation,Nizzinny,2111239,19130,3
AUzkqT1Gaos,Music,Mango Music,110654836,441900,3
Ttl8246Jp18,People & Blogs,Moving Images,62063,1209,3
mfqcRoldxO0,People & Blogs,Moving Images,38891,1310,3
Bvp0iCbXnyQ,People & Blogs,Moving Images,83407,1198,3
FBnB3IH_6Hk,People & Blogs,Moving Images,51768,1046,3
6b2AGAB2pA0,People & Blogs,Eleonora Baglini,276252,2897,3
XJCrR9HcH9Y,Comedy,Kanan Gill,2340309,56221,3
S1xIsfnHcxc,Entertainment,Marvel Entertainment,240898,10473,3
3-Xq_Zz3nPA,Film & Animation,Yuvan Shankar Raja,3004246,205430,3
FpHgR7izIvI,Music,pumash1,4630853,13768,3
8gds2_1I6Fk,Music,SonyMusicSouthVEVO,13042397,33145,4
_-pdljs3KJA,Music,SonyMusicSouthVEVO,2350897,13241,4
OcYUEsZ1crg,Music,SonyMusicSouthVEVO,1984389,10980,4
8wL_ikgTThE,Music,SonyMusicSouthVEVO,1893379,9766,4
C-aeAUmP40M,Music,SonyMusicSouthVEVO,3301361,17982,4
FzLpP8VBC6E,Music,SonyMusicSouthVEVO,30270982,76560,4
jnxTNyxBHRk,Music,SonyMusicSouthVEVO,2464873,15309,4
0RZ-Vym4T_0,Entertainment,FilmfareOfficial,542735,10785,4
3-Xq_Zz3nPA,Film & Animation,Yuvan Shankar Raja,3004246,205449,5
ZEs_WSJytNo,Entertainment,Black Sheep,729473,98303,5
fojXwix2ke0,Entertainment,WENSTONE DEVASY,60300,325,5
1bK5dzwhu-I,Music,Sony Music India,19197075,368441,5
nQh1qgygFNY,Music,CloudCity,4248440,70824,5
UH3rWgB3pwE,Entertainment,Black Sheep,499283,38462,5
i7CxJiMnCDc,Film & Animation,Tamil cinema,155922,981,5
4cJPv7ShKQE,Music,Think Music India,67048,531,5
PmYylOWeIWY,Music,Think Music India,2207378,15964,5
BsF9eOfk2s4,Film & Animation,TylerDurden and Kinofist,24256,919,5
lFfHp83Xm04,Education,Extra Credits,1389006,42916,5
JFP24D15_XM,Film & Animation,Dharma Productions,24610839,852570,6
lkJKyRjsuck,Entertainment,Marvel Entertainment,1690570,59949,6
vWFq2T5j390,Entertainment,Random Chikibum,1347583,25567,6
p9-YLYCUYdY,Music,Sony Music South,2653521,45946,6
5X7WWVTrBvM,Music,Speed Records,131455426,1302949,6
q27Nvqrv6bA,Comedy,Shivank Gupta,41199,395,6
v7K4vGYL9zI,Music,T-Series,185549640,942173,6
_KhQT-LGb-4,Music,T-Series,411135952,2567945,6
jFGKJBPFdUA,Music,Zee Music Company,71886310,1186951,2
5X7WWVTrBvM,Music,Speed Records,131455426,1302954,2
J91qes3mXyc,Music,Trillion - 8D Music,3043500,79406,2
zAWsoFk2yVw,Music,BeckyGVEVO,453493234,2681693,2
OSUxrSe5GbI,Music,Bad Bunny,642803850,4220681,2
ixkoVwKQaJg,Music,DJSnakeVEVO,1101938590,9865754,2
8xTK_f0WUTw,Howto & Style,DevNami,571,0,2
9TUS_W0cePw,Howto & Style,DevNami,758,0,7
2rlMNJa_4Z0,Howto & Style,DevNami,1442,0,7
atNFx56UrWs,Howto & Style,DevNami,601,0,7
1csfuyxfaCM,Howto & Style,DevNami,758,0,7
tNYEedSem1g,Howto & Style,DevNami,563,0,2
I6xFINBy8jU,Howto & Style,DevNami,523,0,2
3ZPywGdT8Ok,Howto & Style,DevNami,797,0,2
Cv86JTOdJFo,Howto & Style,DevNami,333,0,2
ka5rioDPp0o,Howto & Style,DevNami,374,0,2
LG4uuy_xYLg,Howto & Style,DevNami,760,0,2
9vL3EjTn34E,Howto & Style,DevNami,849,0,1
yMtUsS849Qg,Howto & Style,DevNami,887,0,1
kyQkoYTJ4mo,Howto & Style,DevNami,1032,0,1
_kk8fh3mlZ8,Howto & Style,DevNami,1597,0,1
