@videoid,@viewcount,@userid,@likes
cA-O4oS-Wb8,2111239,2,19130
AUzkqT1Gaos,110654836,2,441900
Ttl8246Jp18,62063,2,1209
mfqcRoldxO0,38891,2,1310
Bvp0iCbXnyQ,83407,2,1198
FBnB3IH_6Hk,51768,2,1046
6b2AGAB2pA0,276252,2,2897
XJCrR9HcH9Y,2340309,2,56221
S1xIsfnHcxc,240898,2,10473
3-Xq_Zz3nPA,3004246,2,205430
FpHgR7izIvI,4630853,2,13768
8gds2_1I6Fk,13042397,2,33145
_-pdljs3KJA,2350897,2,13241
OcYUEsZ1crg,1984389,2,10980
8wL_ikgTThE,1893379,2,9766
C-aeAUmP40M,3301361,2,17982
FzLpP8VBC6E,30270982,2,76560
jnxTNyxBHRk,2464873,2,15309
0RZ-Vym4T_0,542735,2,10785
3-Xq_Zz3nPA,3004246,2,205449
ZEs_WSJytNo,729473,2,98303
fojXwix2ke0,60300,2,325
1bK5dzwhu-I,19197075,2,368441
nQh1qgygFNY,4248440,2,70824
UH3rWgB3pwE,499283,2,38462
i7CxJiMnCDc,155922,2,981
4cJPv7ShKQE,67048,2,531
PmYylOWeIWY,2207378,2,15964
BsF9eOfk2s4,24256,2,919
lFfHp83Xm04,1389006,2,42916
JFP24D15_XM,24610839,2,852570
lkJKyRjsuck,1690570,2,59949
vWFq2T5j390,1347583,2,25567
p9-YLYCUYdY,2653521,2,45946
5X7WWVTrBvM,131455426,2,1302949
q27Nvqrv6bA,41199,2,395
v7K4vGYL9zI,185549640,2,942173
_KhQT-LGb-4,411135952,2,2567945
jFGKJBPFdUA,71886310,2,1186951
5X7WWVTrBvM,131455426,2,1302954
J91qes3mXyc,3043500,2,79406
zAWsoFk2yVw,453493234,2,2681693
OSUxrSe5GbI,642803850,2,4220681
ixkoVwKQaJg,1101938590,2,9865754
8xTK_f0WUTw,571,2,0
9TUS_W0cePw,758,2,0
2rlMNJa_4Z0,1442,2,0
atNFx56UrWs,601,2,0
1csfuyxfaCM,758,2,0
tNYEedSem1g,563,2,0
I6xFINBy8jU,523,2,0
3ZPywGdT8Ok,797,2,0
Cv86JTOdJFo,333,2,0
ka5rioDPp0o,374,2,0
LG4uuy_xYLg,760,2,0
9vL3EjTn34E,849,2,0
yMtUsS849Qg,887,2,0
kyQkoYTJ4mo,1032,2,0
_kk8fh3mlZ8,1597,2,0
gRlvn8zi7PY,1676,2,0
nWTR3xTe9iw,913,2,0
i487ttwqIe0,572,2,0
yx6XSu6Lyow,913,2,0
hdiJwvGylxM,1046,2,0
qFkPO7-o7ng,678,2,0
DTgWyvoDoZQ,963,2,0
i76omG1ENqo,964,2,0
YLpcLGxG_XE,1253,2,0
II02TV6pvf4,1595,2,0
ULyDUYoaqxE,1403,2,0
1EaXrdzvmJU,1439,2,0
-VOaEJvIip4,4610,2,0
R409XU7SSlY,6177,2,0
