@videoid,@category,@channel name,@viewcount,@Timestamp,@likes,@dislikes,@userid
cA-O4oS-Wb8,Film & Animation,Nizzinny,2111239,00:01:45,19130,355,2
AUzkqT1Gaos,Music,Mango Music,110654836,00:04:58,441900,52511,2
Ttl8246Jp18,People & Blogs,Moving Images,62063,00:05:56,1209,11,2
mfqcRoldxO0,People & Blogs,Moving Images,38891,00:05:20,1310,5,2
Bvp0iCbXnyQ,People & Blogs,Moving Images,83407,00:05:09,1198,18,2
FBnB3IH_6Hk,People & Blogs,Moving Images,51768,00:04:39,1046,6,2
6b2AGAB2pA0,People & Blogs,Eleonora Baglini,276252,00:04:20,2897,30,2
XJCrR9HcH9Y,Comedy,Kanan Gill,2340309,00:04:47,56221,706,2
S1xIsfnHcxc,Entertainment,Marvel Entertainment,240898,00:00:30,10473,491,2
3-Xq_Zz3nPA,Film & Animation,Yuvan Shankar Raja,3004246,00:02:04,205430,4666,2
FpHgR7izIvI,Music,pumash1,4630853,00:04:38,13768,614,2
8gds2_1I6Fk,Music,SonyMusicSouthVEVO,13042397,00:04:09,33145,1700,2
_-pdljs3KJA,Music,SonyMusicSouthVEVO,2350897,00:04:50,13241,559,2
OcYUEsZ1crg,Music,SonyMusicSouthVEVO,1984389,00:04:43,10980,356,2
8wL_ikgTThE,Music,SonyMusicSouthVEVO,1893379,00:04:33,9766,329,2
C-aeAUmP40M,Music,SonyMusicSouthVEVO,3301361,00:04:49,17982,910,2
FzLpP8VBC6E,Music,SonyMusicSouthVEVO,30270982,00:05:36,76560,4608,2
jnxTNyxBHRk,Music,SonyMusicSouthVEVO,2464873,00:02:50,15309,421,2
0RZ-Vym4T_0,Entertainment,FilmfareOfficial,542735,00:02:59,10785,337,2
3-Xq_Zz3nPA,Film & Animation,Yuvan Shankar Raja,3004246,00:02:04,205449,4666,2
ZEs_WSJytNo,Entertainment,Black Sheep,729473,00:08:34,98303,934,2
fojXwix2ke0,Entertainment,WENSTONE DEVASY,60300,00:05:36,325,14,2
1bK5dzwhu-I,Music,Sony Music India,19197075,00:03:07,368441,10433,2
nQh1qgygFNY,Music,CloudCity,4248440,00:03:00,70824,1308,2
UH3rWgB3pwE,Entertainment,Black Sheep,499283,00:08:38,38462,470,2
i7CxJiMnCDc,Film & Animation,Tamil cinema,155922,00:04:19,981,41,2
4cJPv7ShKQE,Music,Think Music India,67048,00:03:41,531,5,2
PmYylOWeIWY,Music,Think Music India,2207378,00:04:10,15964,447,2
BsF9eOfk2s4,Film & Animation,TylerDurden and Kinofist,24256,00:00:21,919,3,2
lFfHp83Xm04,Education,Extra Credits,1389006,00:08:41,42916,874,2
JFP24D15_XM,Film & Animation,Dharma Productions,24610839,00:03:05,852570,32289,2
lkJKyRjsuck,Entertainment,Marvel Entertainment,1690570,00:00:45,59949,4078,2
vWFq2T5j390,Entertainment,Random Chikibum,1347583,00:02:43,25567,3092,2
p9-YLYCUYdY,Music,Sony Music South,2653521,00:02:25,45946,1299,2
5X7WWVTrBvM,Music,Speed Records,131455426,00:03:38,1302949,49750,2
q27Nvqrv6bA,Comedy,Shivank Gupta,41199,00:01:21,395,26,2
v7K4vGYL9zI,Music,T-Series,185549640,00:03:24,942173,82754,2
_KhQT-LGb-4,Music,T-Series,411135952,00:03:23,2567945,339171,2
jFGKJBPFdUA,Music,Zee Music Company,71886310,00:02:10,1186951,32996,2
5X7WWVTrBvM,Music,Speed Records,131455426,00:03:38,1302954,49750,2
J91qes3mXyc,Music,Trillion - 8D Music,3043500,00:03:32,79406,1478,2
zAWsoFk2yVw,Music,BeckyGVEVO,453493234,00:04:40,2681693,153286,2
OSUxrSe5GbI,Music,Bad Bunny,642803850,00:03:31,4220681,251105,2
ixkoVwKQaJg,Music,DJSnakeVEVO,1101938590,00:03:52,9865754,587788,2
8xTK_f0WUTw,Howto & Style,DevNami,571,00:02:46,0,0,2
9TUS_W0cePw,Howto & Style,DevNami,758,00:03:34,0,0,2
2rlMNJa_4Z0,Howto & Style,DevNami,1442,00:03:48,0,0,2
atNFx56UrWs,Howto & Style,DevNami,601,00:03:43,0,0,2
1csfuyxfaCM,Howto & Style,DevNami,758,00:02:48,0,0,2
tNYEedSem1g,Howto & Style,DevNami,563,00:03:57,0,0,2
I6xFINBy8jU,Howto & Style,DevNami,523,00:03:03,0,0,2
3ZPywGdT8Ok,Howto & Style,DevNami,797,00:03:43,0,0,2
Cv86JTOdJFo,Howto & Style,DevNami,333,00:02:29,0,0,2
ka5rioDPp0o,Howto & Style,DevNami,374,00:03:04,0,0,2
LG4uuy_xYLg,Howto & Style,DevNami,760,00:03:25,0,0,2
9vL3EjTn34E,Howto & Style,DevNami,849,00:02:46,0,0,2
yMtUsS849Qg,Howto & Style,DevNami,887,00:02:59,0,0,2
kyQkoYTJ4mo,Howto & Style,DevNami,1032,00:02:34,0,0,2
_kk8fh3mlZ8,Howto & Style,DevNami,1597,00:02:42,0,0,2
gRlvn8zi7PY,Howto & Style,DevNami,1676,00:04:04,0,0,2
nWTR3xTe9iw,Howto & Style,DevNami,913,00:02:59,0,0,2
i487ttwqIe0,Howto & Style,DevNami,572,00:01:59,0,0,2
yx6XSu6Lyow,Howto & Style,DevNami,913,00:03:51,0,0,2
hdiJwvGylxM,Howto & Style,DevNami,1046,00:03:02,0,0,2
qFkPO7-o7ng,Howto & Style,DevNami,678,00:02:52,0,0,2
DTgWyvoDoZQ,Howto & Style,DevNami,963,00:03:08,0,0,2
i76omG1ENqo,Howto & Style,DevNami,964,00:02:21,0,0,2
YLpcLGxG_XE,Howto & Style,DevNami,1253,00:02:39,0,0,2
II02TV6pvf4,Howto & Style,DevNami,1595,00:02:56,0,0,2
ULyDUYoaqxE,Howto & Style,DevNami,1403,00:02:24,0,0,2
1EaXrdzvmJU,Howto & Style,DevNami,1439,00:02:17,0,0,2
-VOaEJvIip4,Howto & Style,DevNami,4610,00:01:53,0,0,2
R409XU7SSlY,Howto & Style,DevNami,6177,00:02:37,0,0,2
4COJmCaMxXg,Entertainment,BehindwoodsTV,7811058,00:06:17,160791,3157,1
jlq9yjDUZN8,Film & Animation,N - Isai,1837246,00:21:00,5101,1029,1
uxV1_-7WrgU,People & Blogs,Mini Time,487743,00:30:06,1464,275,1
naQXCgKgsXM,Howto & Style,Howcast,109503,00:01:47,106,36,1
4eIBisqx9_g,Education,Siraj Raval,592594,00:21:50,11901,466,1
b-p3MDXJkrw,Science & Technology,Red Stapler,10576,00:05:54,76,6,1
eYrRVu7T12Y,Entertainment,IndiaGlitz Tamil Movies | Interviews | Shooting Spot | Review | Gossip,962511,00:09:33,14184,304,1
HVsySz-h9r4,Education,Corey Schafer,787358,00:30:33,11462,144,1
OdbBmvfThJY,Science & Technology,Telusko,323303,00:12:47,4216,163,1
jvZL7oTTtR8,People & Blogs,Praveen Reddy,39234,00:05:00,148,26,1
1jkszm02PbY,People & Blogs,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY,27266,00:02:47,517,17,1
xbQDdCN6IBg,Science & Technology,Freshservice,1862,00:01:13,9,0,1
TDynSmrzpXw,Education,Guru99,579706,00:01:57,858,38,1
jSZ9jQy1sfE,Education,Rushdi Shams,25998,00:12:04,108,1,1
w06KRjtufsE,Education,HowTo,36468,00:04:44,184,6,1
4c9s3gNn-VY,People & Blogs,Ziyad Beg,4779,00:03:11,19,5,1
1xEMPm2Hp_4,Entertainment,Black Sheep,1074761,00:13:09,49789,4165,1
kurYPREl2dQ,Entertainment,Cinema Vikatan,2573803,00:15:26,18396,1211,1
0LqSqnkTzxI,Entertainment,Zee Tamil,11499911,00:10:43,13064,6272,1
EZ1YCFn1TR4,Film & Animation,Tamil Film Junction,3055570,00:10:42,9315,1793,1
QVgSyvzmbxw,Music,Think Music India,95317194,00:04:14,403074,37048,1
bbMLUadeMnA,Entertainment,Sun TV,15293549,00:01:32,493633,45372,1
UvQ9y4w8unE,Entertainment,Sun TV,25029842,00:04:58,281126,25222,1
zEv5_YspYRk,People & Blogs,MR Creationz,23708,00:03:38,392,8,1
_IuJsaMqtqc,Music,SonyMusicSouthVEVO,6871655,00:04:07,32521,1674,1
2X-UY1BMqSk,Film & Animation,18BTamilCinema,9582,00:01:04,9,1,1
0xVqLJe9_CY,Education,Siraj Raval,168435,00:07:42,3221,135,1
Q-BpqyOT3a8,Science & Technology,Traversy Media,610907,00:18:37,9211,190,1
Im69kzhpR3I,Science & Technology,Google Developers,333018,00:03:35,279,102,1
hd1W4CyPX58,Education,Data School,147805,00:15:26,1379,23,1
MN1F7X8i7sQ,Howto & Style,Derral Eves,61411,00:04:49,975,69,1
pDPdTc6p7_g,Science & Technology,Technique Duniya,56972,00:01:18,112,46,1
8xTK_f0WUTw,Howto & Style,DevNami,571,00:02:46,0,0,1
9TUS_W0cePw,Howto & Style,DevNami,758,00:03:34,0,0,1
2rlMNJa_4Z0,Howto & Style,DevNami,1442,00:03:48,0,0,1
atNFx56UrWs,Howto & Style,DevNami,601,00:03:43,0,0,1
1csfuyxfaCM,Howto & Style,DevNami,758,00:02:48,0,0,1
tNYEedSem1g,Howto & Style,DevNami,563,00:03:57,0,0,1
I6xFINBy8jU,Howto & Style,DevNami,523,00:03:03,0,0,1
3ZPywGdT8Ok,Howto & Style,DevNami,797,00:03:43,0,0,1
Cv86JTOdJFo,Howto & Style,DevNami,333,00:02:29,0,0,1
ka5rioDPp0o,Howto & Style,DevNami,374,00:03:04,0,0,1
LG4uuy_xYLg,Howto & Style,DevNami,760,00:03:25,0,0,1
9vL3EjTn34E,Howto & Style,DevNami,849,00:02:46,0,0,1
yMtUsS849Qg,Howto & Style,DevNami,887,00:02:59,0,0,1
kyQkoYTJ4mo,Howto & Style,DevNami,1032,00:02:34,0,0,1
_kk8fh3mlZ8,Howto & Style,DevNami,1597,00:02:42,0,0,1
gRlvn8zi7PY,Howto & Style,DevNami,1676,00:04:04,0,0,1
nWTR3xTe9iw,Howto & Style,DevNami,913,00:02:59,0,0,1
i487ttwqIe0,Howto & Style,DevNami,572,00:01:59,0,0,1
yx6XSu6Lyow,Howto & Style,DevNami,913,00:03:51,0,0,1
hdiJwvGylxM,Howto & Style,DevNami,1046,00:03:02,0,0,1
qFkPO7-o7ng,Howto & Style,DevNami,678,00:02:52,0,0,1
DTgWyvoDoZQ,Howto & Style,DevNami,963,00:03:08,0,0,1
i76omG1ENqo,Howto & Style,DevNami,964,00:02:21,0,0,1
YLpcLGxG_XE,Howto & Style,DevNami,1253,00:02:39,0,0,1
II02TV6pvf4,Howto & Style,DevNami,1595,00:02:56,0,0,1
ULyDUYoaqxE,Howto & Style,DevNami,1403,00:02:24,0,0,1
1EaXrdzvmJU,Howto & Style,DevNami,1439,00:02:17,0,0,1
-VOaEJvIip4,Howto & Style,DevNami,4610,00:01:53,0,0,1
R409XU7SSlY,Howto & Style,DevNami,6177,00:02:37,0,0,1
tcIqIIHmX_U,Science & Technology,Dhakad Tech,57748,00:04:53,210,62,1
4pGn5Y1qM9k,People & Blogs,Gyaan With Anand Nayyar,6529,00:07:43,31,6,1
x6Q7c9RyMzk,Music,Wunderbar Studios,239324413,00:04:43,1668734,139473,1
BU9TdMqLAIg,People & Blogs,Testing World,2490,00:07:12,6,3,1
lMhoz29A2Jg,Howto & Style,LinkedIn Learning,23131,00:03:50,25,28,1
bQKL2cYt2PI,Science & Technology,LabLIC,5803,00:02:07,5,2,1
ULyDUYoaqxE,Howto & Style,DevNami,1403,00:02:24,0,0,1
1EaXrdzvmJU,Howto & Style,DevNami,1439,00:02:17,0,0,1
-VOaEJvIip4,Howto & Style,DevNami,4610,00:01:53,0,0,1
R409XU7SSlY,Howto & Style,DevNami,6177,00:02:37,0,0,1
gB8OmhRJ0D8,Education,Shashi Lakshan,32737,00:25:02,75,24,1
bLxoZZ_EkL8,Education,Robert Attard,7674,00:03:24,2,8,1
XPamNWh9E5c,Education,Smartherd,22506,00:03:02,43,2,1
ULyDUYoaqxE,Howto & Style,DevNami,1403,00:02:24,0,0,1
ULyDUYoaqxE,Howto & Style,DevNami,1403,00:02:24,0,0,1
R409XU7SSlY,Howto & Style,DevNami,6177,00:02:37,0,0,1
